,BD,SVA,MVA
413,2.615,0.663826353,34.69029899
414,2.62,0.655243508,8.722592601
415,2.625,0.647967603,36.61332844
416,2.63,0.652757748,48.15582233
417,2.635,0.669578411,30.40591753
418,2.64,0.654942511,38.34924002
419,2.645,0.662092835,33.68206397
420,2.65,0.649907087,34.32930213
421,2.655,0.650485399,34.31761358
422,2.66,0.647696609,30.71793284
423,2.665,0.655704385,28.94830852
424,2.67,0.660154067,35.71839769
425,2.675,0.655557651,35.95355796
426,2.68,0.655532563,22.06077215
427,2.685,0.661818263,34.57051836
428,2.69,0.656083536,18.6987088
429,2.695,0.650318189,44.51262024
430,2.7,0.652076225,38.35015334
431,2.705,0.649637569,30.60280036
432,2.71,0.659360162,32.77082934
433,2.715,0.663409404,30.02239951
434,2.72,0.661425373,33.67876421
435,2.725,0.654502063,34.86817422
436,2.73,0.652407543,14.71832609
437,2.735,0.658053165,28.69192454
438,2.74,0.656199342,49.05232613
439,2.745,0.673383283,31.26443691
440,2.75,0.650509773,33.95378502
441,2.755,0.662654852,29.40613113
442,2.76,0.652383297,35.66468257
443,2.765,0.662082051,32.28412923
444,2.77,0.653462222,24.82647211
445,2.775,0.666934644,31.80012394
446,2.78,0.664613362,32.34981395
447,2.785,0.649811331,35.87594732
448,2.79,0.651445498,34.0012569
449,2.795,0.666762059,32.26490867
450,2.8,0.652289401,25.61465632
451,2.805,0.646759822,38.49623009
452,2.81,0.660407808,25.23565022
453,2.815,0.659255947,37.37494479
454,2.82,0.654503388,29.15883802
455,2.825,0.650554411,36.68246711
456,2.83,0.667877877,33.01083873
457,2.835,0.656476384,34.64800078
458,2.84,0.646780974,36.3843101
459,2.845,0.663617217,32.74087409
460,2.85,0.662322728,32.81304394
461,2.855,0.652230048,30.39245451
462,2.86,0.659143003,32.00925949
463,2.865,0.649821264,38.91453948
464,2.87,0.664536939,33.45796968
465,2.875,0.667753484,34.00903784
466,2.88,0.650231992,39.32982205
467,2.885,0.647773229,33.08812825
468,2.89,0.65287036,35.34088104
469,2.895,0.651645766,33.80581442
470,2.9,0.646680156,35.25279437
471,2.905,0.654056182,17.35204606
472,2.91,0.654231444,36.57082163
473,2.915,0.651998372,31.14358181
474,2.92,0.649789775,32.99960191
475,2.925,0.6528029,33.03377685
476,2.93,0.652857526,36.69240545
477,2.935,0.653679869,36.97428097
478,2.94,0.638055998,37.54915052
479,2.945,0.649512403,39.57832861
480,2.95,0.652416853,30.55664566
481,2.955,0.64639977,38.26214082
482,2.96,0.651035646,37.0564597
483,2.965,0.643589783,34.5387789
484,2.97,0.641824824,38.14704246
485,2.975,0.658869343,37.22065306
486,2.98,0.643645691,35.46446521
487,2.985,0.650665663,38.03701751
488,2.99,0.644014865,38.84854725
489,2.995,0.644288755,36.9224128
490,3,0.657609241,37.18516593
491,3.005,0.648267275,32.50296954
492,3.01,0.657211672,34.41281275
493,3.015,0.659673987,35.0667043
494,3.02,0.655674312,33.34634754
495,3.025,0.650004648,32.27270321
496,3.03,0.643729293,35.97683112
497,3.035,0.652269019,28.06128322
498,3.04,0.660927447,34.62046453
499,3.045,0.646698682,38.07451183
500,3.05,0.64022196,38.18591441
501,3.055,0.640203364,35.46650189
502,3.06,0.645847226,38.14477302
503,3.065,0.647836363,23.58815881
504,3.07,0.645100065,34.66647556
505,3.075,0.644911358,36.73674647
506,3.08,0.642107259,34.68722388
507,3.085,0.639828494,37.99671354
508,3.09,0.654254799,36.50223811
509,3.095,0.652156691,40.30812969
510,3.1,0.648421438,37.08729671
511,3.105,0.654258868,36.85757343
512,3.11,0.654774333,37.57601225
513,3.115,0.642494731,36.38683724
514,3.12,0.64117613,39.2108465
515,3.125,0.643063871,36.47233283
516,3.13,0.649572054,39.56605954
517,3.135,0.655132965,34.55856106
518,3.14,0.641375046,36.44363232
519,3.145,0.646738144,38.93757966
520,3.15,0.640298176,38.21706614
521,3.155,0.641444982,37.48336672
522,3.16,0.654229637,35.69971053
523,3.165,0.648273775,44.61110516
524,3.17,0.639406914,39.04193562
525,3.175,0.638234903,40.85206138
526,3.18,0.633029949,41.43340688
527,3.185,0.645381006,50.00351009
528,3.19,0.632299126,40.42082404
529,3.195,0.630945492,42.21110081
530,3.2,0.638188554,42.12227675
531,3.205,0.628396128,41.67733244
532,3.21,0.644161028,36.03197889
533,3.215,0.634697417,41.16109835
534,3.22,0.648251224,43.0491301
535,3.225,0.646621077,38.56608363
536,3.23,0.637156421,42.0243804
537,3.235,0.648047287,55.36211287
538,3.24,0.637647248,41.79089354
539,3.245,0.653319316,39.25870559
540,3.25,0.630199253,41.8868322
541,3.255,0.633709704,39.04155273
542,3.26,0.635727532,38.86008238
543,3.265,0.637170901,37.51348916
544,3.27,0.649819947,36.31673089
545,3.275,0.648609415,33.28769693
546,3.28,0.646800337,34.28853665
547,3.285,0.638697152,43.96886278
548,3.29,0.635633915,40.37015622
549,3.295,0.63090263,43.13988754
550,3.3,0.627607567,40.81096085
551,3.305,0.632395102,41.92608355
552,3.31,0.647673031,40.39080971
553,3.315,0.644795838,39.92494564
554,3.32,0.630628418,43.71981947
555,3.325,0.635602434,41.55460972
556,3.33,0.631626757,43.80130519
557,3.335,0.635870679,40.19141357
558,3.34,0.63121465,41.40219477
559,3.345,0.627712302,44.14871835
560,3.35,0.646152131,40.65585809
561,3.355,0.629672612,41.51024583
562,3.36,0.625970476,43.26984605
563,3.365,0.630285585,43.82953703
564,3.37,0.631019659,41.1933041
565,3.375,0.630208336,47.59297109
566,3.38,0.643325822,42.61222925
567,3.385,0.628453712,42.80903329
568,3.39,0.643711302,44.36806893
569,3.395,0.630992364,44.84064716
570,3.4,0.643980412,43.02257528
571,3.405,0.635776386,49.40765552
572,3.41,0.634226416,40.2387946
573,3.415,0.629624894,44.94092343
574,3.42,0.633365045,41.63501364
575,3.425,0.619433013,45.49592091
576,3.43,0.638988639,39.78654415
577,3.435,0.622101544,43.98038259
578,3.44,0.62465217,43.87910063
579,3.445,0.633835612,68.28239347
580,3.45,0.618804082,46.69635803
581,3.455,0.616890957,47.7607687
582,3.46,0.6329743,49.71121108
583,3.465,0.628372614,47.90719155
584,3.47,0.632148631,41.10896799
585,3.475,0.615237532,47.8350896
586,3.48,0.630389286,50.55756469
587,3.485,0.614913576,49.89135646
588,3.49,0.626836105,46.85624422
589,3.495,0.622320297,45.80487223
590,3.5,0.621079138,48.21901166
591,3.505,0.634189928,46.74926351
592,3.51,0.630301458,46.71968621
593,3.515,0.63655216,46.54432391
594,3.52,0.624554421,44.55553037
595,3.525,0.628557926,44.7973583
596,3.53,0.635577153,56.8713076
597,3.535,0.628687811,45.14360241
598,3.54,0.624386953,45.37871966
599,3.545,0.629331177,42.44001371
600,3.55,0.619579414,47.01876692
601,3.555,0.62043034,45.37211925
602,3.56,0.619997351,48.51989456
603,3.565,0.6156715,48.24615761
604,3.57,0.616362206,49.54123357
605,3.575,0.628895782,35.18039047
606,3.58,0.614441842,50.59307011
607,3.585,0.618447558,48.0255239
608,3.59,0.611583623,48.81096974
609,3.595,0.613383537,50.10759616
610,3.6,0.612957823,50.9711579
611,3.605,0.62676167,51.93132676
612,3.61,0.607024169,53.18742265
613,3.615,0.6089127,52.08516387
614,3.62,0.625590685,51.51392056
615,3.625,0.615331969,53.58577186
